artist,song,lyrics
Coldplay,Viva La Vida,"292 ContributorsTranslationsहिन्दी (Hindi)TürkçeEspañolPortuguêsDeutschFrançais한국어 (Korean)Danskفارسیעברית (Hebrew)ItalianoNederlandsČeskyViva La Vida LyricsRevered as an essential rock song of the 2000s, “Viva La Vida” tells the story of a monarch who’s lost his kingdom. In another aspect, the song is also seen as a narrative on the French Revolution given the… Read More [Verse 1: Chris Martin]
I used to rule the world
Seas would rise when I gave the word
Now in the mornin', I sleep alone
Sweep the streets I used to own

[Verse 2: Chris Martin]
I used to roll the dice
Feel the fear in my enemy's eyes
Listen as the crowd would sing
""Now the old king is dead, long live the king""
One minute, I held the key
Next, the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand

[Chorus: Chris Martin]
I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
Once you'd gone, there was never
Never an honest word
And that was when I ruled the world


[Verse 3: Chris Martin]
It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
And revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string (Mmm, mmm)
Aw, who would ever wanna be king?

[Chorus: Chris Martin]
I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

[Bridge: Brian Eno, Guy Berryman, Jonny Buckland & Will Champion]
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh


[Chorus: Chris Martin, Brian Eno, Guy Berryman, Jonny Buckland & Will Champion]
(Oh-oh-oh, oh-oh, oh)
Hear Jerusalem bells a-ringin'
(Oh-oh-oh, oh-oh, oh)
Roman cavalry choirs are singin'
(Oh-oh-oh, oh-oh, oh)
Be my mirror, my sword and shield
(Oh-oh-oh, oh-oh, oh)
My missionaries in a foreign field
(Oh-oh-oh, oh-oh, oh)
For some reason, I can't explain
(Oh-oh-oh, oh-oh, oh)
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

[Outro]
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm"
Coldplay,The Scientist,"137 ContributorsTranslationsفارسیTürkçeFrançaisEspañolPortuguêsहिन्दी (Hindi)ItalianoDeutschThe Scientist Lyrics“The Scientist” is a very mellow song about trying to analyze a broken relationship.

The song’s melody is inspired by “Don’t Look Back in Anger” by Oasis, especially the piano part.

The music video is… Read More [Verse 1]
Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you, tell you I need you
And tell you I set you apart
Tell me your secrets and ask me your questions
No, let's go back to the start
Runnin' in circles, comin' up tails
Heads on a science apart

[Chorus]
Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start

[Verse 2]
I was just guessin' at numbers and figures
Pullin' your puzzles apart
Questions of science, science and progress
Do not speak as loud as my heart
And tell me you love me, come back and haunt me
Oh, and I rush to the start
Runnin' in circles, chasin' our tails
Comin' back as we are


[Chorus]
Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm goin' back to the start

[Instrumental Break]

[Outro]
Ah-ooh
Ah-ooh
Ah-ooh
Ah-ooh"
Coldplay,Yellow,"153 ContributorsTranslationsفارسیBahasa IndonesiaEspañolPortuguês繁體中文 (Traditional Chinese)ItalianoČeskyMagyarFrançaisTürkçeDeutschРусский (Russian)Yellow Lyrics“Yellow” is the fifth track and second single from Coldplay’s 2000 debut album Parachutes. It is one of their oldest and most enduring hits, continuing to be a celebrated staple of live performances even… Read More [Verse 1: Chris Martin]
Look at the stars
Look how they shine for you
And everything you do
Yeah, they were all yellow
I came along
I wrote a song for you
And all the things you do
And it was called ""Yellow""
So then I took my turn
Oh, what a thing to have done
And it was all yellow

[Chorus: Chris Martin, Guy Berryman, Jonny Buckland & Will Champion]
(Ah) Your skin, oh, yeah, your skin and bones
(Ooh) Turn into something beautiful
(Ah) And you know, you know I love you so
You know I love you so

[Verse 2: Chris Martin]
I swam across
I jumped across for you
Oh, what a thing to do
'Cause you were all yellow
I drew a line
I drew a line for you
Oh, what a thing to do
And it was all yellow


[Chorus: Chris Martin, Jonny Buckland & Will Champion]
(Ah) And your skin, oh, yeah, your skin and bones
(Ooh) Turn into something beautiful
(Ah) And you know, for you, I'd bleed myself dry
For you, I'd bleed myself dry

[Bridge: Chris Martin]
It's true
Look how they shine for you
Look how they shine for you
Look how they shine for
Look how they shine for you
Look how they shine for you
Look how they shine

[Outro: Chris Martin]
Look at the stars
Look how they shine for you
And all the things that you do"
Coldplay,Fix You,"145 ContributorsTranslationsFrançaisفارسیEspañolРусский (Russian)ItalianoFix You Lyrics“Fix You” is the fourth track and second single from Coldplay’s third album X&Y. It was written by Chris Martin for his then-wife, Gwyneth Paltrow, to comfort her after her father passed away.

The song has… Read More [Verse 1: Chris Martin]
When you try your best, but you don't succeed
When you get what you want, but not what you need
When you feel so tired, but you can't sleep
Stuck in reverse

[Verse 2: Chris Martin]
And the tears come streamin' down your face
When you lose somethin' you can't replace
When you love someone, but it goes to waste
Could it be worse?

[Chorus: Chris Martin, Chris Martin & Will Champion]
Lights will guide you home
And ignite your bones
And I will try to fix you

[Verse 3: Chris Martin]
And high up above or down below
When you're too in love to let it go
But if you never try, you'll never know
Just what you're worth

[Chorus: Chris Martin, Chris Martin & Will Champion]
Lights will guide you home
And ignite your bones
And I will try to fix you


[Interlude]

[Bridge: Chris Martin, Jonny Buckland, Guy Berryman & Will Champion]
Tears stream down your face
When you lose somethin' you cannot replace
Tears stream down your face, and I...
Tears stream down your face
I promise you I will learn from my mistakes
Tears stream down your face, and I...

[Chorus: Chris Martin]
Lights will guide you home
And ignite your bones
And I will try to fix you"
Coldplay,Sparks,"78 ContributorsTranslationsItalianoPortuguêsTürkçeРусский (Russian)فارسیEspañolSparks Lyrics“Sparks” is an acoustic song by the British rock band Coldplay. It’s the fourth track off of Coldplay’s debut album, Parachutes.

This acoustic love song is about a person who tries to get someone to remember… Read More [Verse 1]
Did I drive you away?
I know what you'll say
You say, ""Oh, sing one we know""
But I promise you this
I'll always look out for you
Yeah, that's what I'll do

[Chorus]
I say, oh
I say, oh

[Verse 2]
My heart is yours
It's you that I hold onto
Yeah, that's what I do
And I know I was wrong
But I won't let you down
Oh, yeah, I will, yeah, I will, yes, I will

[Chorus]
I said, oh
I cry, oh

[Bridge]
Yeah, I saw sparks
Yeah, I saw sparks
And I saw sparks
Yeah, I saw sparks


[Outro]
Sing it out
La-la-la-la, oh-oh
La-la-la-la, oh-oh
La-la-la-la, oh-oh
La-la-la-la, oh-oh"
Coldplay,A Sky Full of Stars,"88 ContributorsTranslationsEspañolفارسیDeutschFrançaisTürkçeA Sky Full of Stars LyricsOne of Coldplay’s most hyped tracks ever, described by attendees of Coldplay’s secret Ghost Stories shows as “wonderfully produced” and “upbeat, happy, makes you want to stand up and dance,” “A Sky Full of… Read More [Verse 1]
'Cause you're a sky, 'cause you're a sky full of stars
I'm gonna give you my heart
'Cause you're a sky, 'cause you're a sky full of stars
'Cause you light up the path

[Chorus]
I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I saw you, ooh-ooh-ooh, ooh-ooh-ooh

[Drop]

[Verse 2]
'Cause you're a sky, 'cause you're a sky full of stars
I wanna die in your arms, oh-oh-oh, oh-oh
'Cause you get lighter the more it gets dark
I'm gonna give you my heart, oh

[Chorus]
I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I see you, ooh-ooh-ooh, ooh-ooh-ooh
I think I see you, ooh-ooh-ooh, ooh-ooh-ooh


[Drop]

[Interlude]
Ooh-ooh-ooh, ooh-ooh-ooh

[Bridge]
'Cause you're a sky, you're a sky full of stars
Such a heavenly view, ooh-ooh-ooh, ooh-ooh-ooh
You're such a heavenly view, ooh-ooh-ooh, ooh-ooh-ooh
(Yeah, yeah, yeah, oh)

[Outro]
(Ooh-ooh-ooh)
(Ooh-ooh-ooh)
(Ooh-ooh-ooh)"
Coldplay,Adventure of a Lifetime,"100 ContributorsTranslationsTürkçeРусский (Russian)DeutschEspañolفارسیAdventure of a Lifetime LyricsThe groovy fifth track on Coldplay’s dynamic A Head Full of Dreams takes a step into disco, with a simplistic song about life and love, backed by a funky dance floor beat. It features a prominent guitar riff… Read More [Intro]
[Indecipherable]

[Verse 1]
""Turn your magic on,"" Umi, she'd say
""Everythin' you want's a dream away
We are legends every day""
That's what she told me
""Turn your magic on,"" to me, she'd say
""Everythin' you want's a dream away
Under this pressure, under this weight
We are diamonds""

[Pre-Chorus]
Now, I feel my heart beatin'
I feel my heart underneath my skin
Now, I feel my heart beatin'
Oh, you make me feel

[Chorus]
Like I'm alive again
(Alive again)
Oh, you make me feel
Like I'm alive again

[Verse 2]
Said, ""I can't go on, not in this way
I'm a dream that died by light of day
Gonna hold up half the sky and say
Only I own me""


[Pre-Chorus]
Now, I feel my heart beatin'
I feel my heart underneath my skin
Oh, I can feel my heart beatin'
'Cause you make me feel

[Chorus]
Like I'm alive again
(Alive again)
Oh, you make me feel
Like I'm alive again

[Verse 3]
""Turn your magic on,"" Umi, she'd say
""Everythin' you want's a dream away
Under this pressure, under this weight
We are diamonds takin' shape
We are diamonds takin' shape""

[Bridge]
(Woo, woo-hoo)
(Woo, woo-hoo)
If we've only got this life, this adventure, oh, then I
And if we've only got this life, you'll get me through alive
And if we've only got this life, in this adventure, oh, then I
Want to share it with you, with you, with you
Oh, see, yeah, see, yeah, I


[Outro]
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)"
Coldplay,Clocks,"108 ContributorsTranslationsفارسیFrançaisEspañolClocks LyricsContinuing the existential themes of A Rush of Blood to the Head, “Clocks” opens with a haunting piano melody into Chris Martin’s falsetto vocals.

The song concerns the paradox facing humanity: an obsession… Read More [Piano Refrain]

[Verse 1]
The lights go out, and I can't be saved
Tides that I tried to swim against
Have brought me down upon my knees
Oh, I beg, I beg and plead, singin'
Come out of things unsaid
Shoot an apple off my head, and a
Trouble that can't be named
A tiger's waitin' to be tamed, singin'

[Chorus]
You are
You are

[Piano Refrain]

[Verse 2]
Confusion never stops
Closin' walls and tickin' clocks, gonna
Come back and take you home
I could not stop, that you now know, singin'
Come out upon my seas
Cursed missed opportunities, am I
A part of the cure
Or am I part of the disease? Singin'


[Chorus]
You are
You are
You are
You are

[Instrumental Break]

[Chorus]
You are
You are

[Bridge]
And nothin' else compares
Oh, nothin' else compares
And nothin' else compares

[Piano Refrain]

[Chorus]
You are
You are

[Outro]
Home, home, where I wanted to go
Home, home, where I wanted to go
Home (You are) home, where I wanted to go
Home (You are) home, where I wanted to go"
Coldplay,Paradise,"115 ContributorsTranslationsTürkçePortuguêsFrançaisΕλληνικάEspañolفارسیParadise LyricsThe third track and second single off Mylo Xyloto, Coldplay makes a true masterpiece of the song “Paradise”. With its jittery synths, orchestral hooks, thunderous drumming, and falsetto vocals by frontman… Read More [Intro]
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh

[Verse 1]
When she was just a girl
She expected the world
But it flew away from her reach
So she ran away in her sleep

[Chorus]
And dreamed of para-, para-, paradise
Para-, para-, paradise
Para-, para-, paradise
Every time she closed her eyes

[Post-Chorus]
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh

[Verse 2]
When she was just a girl
She expected the world
But it flew away from her reach
And the bullets catch in her teeth


[Pre-Chorus]
Life goes on, it gets so heavy
The wheel breaks the butterfly
Every tear, a waterfall
In the night, the stormy night, she'd close her eyes
In the night, the stormy night, away she'd fly

[Chorus]
And dream of para-, para-, paradise
Para-, para-, paradise
Para-, para-, paradise
Oh, oh-oh, oh-oh, oh-oh-oh
She'd dream of para-, para-, paradise
Para-, para-, paradise
Para-, para-, paradise
Oh, oh-oh, oh-oh, oh-oh-oh

[Bridge]
La, la-la, la-la-la
La, la-la, la-la-la
La, la-la, la-la-la, la-la
So lying underneath those stormy skies
She said, ""Oh, oh-oh-oh-oh, I know the sun must set to rise""

[Chorus]
This could be para-, para-, paradise
Para-, para-, paradise
This could be para-, para-, paradise
Oh, oh-oh, oh-oh, oh-oh-oh
This could be para-, para-paradise
Para-, para-, paradise
This could be para-, para-, paradise
Oh, oh-oh, oh-oh, oh-oh-oh


[Instrumental Break]

[Chorus]
This could be para-, para-, paradise
This could be para-, para-, paradise
This could be para-, para-, paradise
Oh-oh-oh-oh-oh, oh-oh-oh

[Outro]
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh"
Coldplay,Everglow,"91 ContributorsTranslationsItalianoDeutschفارسیEverglow LyricsThe most personal and emotionally-charged song on Coldplay’s enigmatic A Head Full of Dreams, “Everglow” expresses memory and loss as an ever-lasting “glow.”

Most likely inspired by his own divorce from… Read More [Verse 1]
Oh, they say people come, say people go
This particular diamond was extra special
And though you might be gone, and the world may not know
Still I see you celestial

[Verse 2]
Like a lion you ran, a goddess you rolled
Like an eagle you circled in perfect purple
So how come things move on? How come cars don't slow?
When it feels like the end of my world
When I should but I can't let you go

[Chorus]
But when I'm cold, cold
Yeah, when I'm cold, cold
There's a light that you give me when I'm in shadow
There's a feelin' within me, everglow

[Verse 3]
Like brothers in blood, sisters who ride
And we swore on that night we'd be friends 'til we die
But the changin' of winds and the way waters flow
Life is short as the fallin' of snow
And now I'm gonna miss you, I know


[Chorus]
But when I'm cold, cold
In water rolled, salt
And I know that you're with me and the way you will show
And you're with me wherever I go
And you give me this feelin', this everglow

[Bridge]
Oh, what I wouldn't give for just a moment to hold
Yeah, I live for this feelin', this everglow

[Outro]
So if you love someone, you should let them know
Oh, the light that you left me will everglow"
